WeatherDescription,CloudCover,Temperature,FeelsLike,Humidity,Precipitation,Pressure,UVIndex,Visibility,WindSpeed,Reason
Overcast,100.00,14.00,12.00,69.00,0.00,1011.00,3,10.00,32.00,Design Delays
Sunny,0.00,17.00,17.00,39.00,0.00,1026.00,5,10.00,15.00,Design Delays
Overcast,100.00,9.00,7.00,47.00,0.00,1016.00,2,10.00,12.00,Resource
Partly cloudy,55.00,19.00,19.00,66.00,0.00,1015.00,5,10.00,23.00,Delay By Others
Light rain,100.00,6.00,2.00,78.00,0.40,1010.00,2,9.00,29.00,Delay By Others
Partly cloudy,75.00,11.00,9.00,76.00,0.00,1024.00,3,10.00,19.00,Plant
Partly cloudy,34.00,2.00,-3.00,64.00,0.00,1015.00,2,10.00,25.00,Subcontractor Performance
Sunny,26.00,21.00,21.00,50.00,0.00,1021.00,6,10.00,8.00,Safety
Sunny,0.00,26.00,26.00,39.00,0.00,1016.00,6,10.00,24.00,Safety
Cloudy,71.00,19.00,19.00,71.00,0.00,1007.00,4,10.00,17.00,Materials
Cloudy,71.00,19.00,19.00,71.00,0.00,1007.00,4,10.00,17.00,Materials
Cloudy,71.00,19.00,19.00,71.00,0.00,1007.00,4,10.00,17.00,Materials
Cloudy,71.00,19.00,19.00,71.00,0.00,1007.00,4,10.00,17.00,Materials
Cloudy,71.00,19.00,19.00,71.00,0.00,1007.00,4,10.00,17.00,Materials
Sunny,2.00,35.00,34.00,22.00,0.00,1017.00,9,10.00,11.00,Materials
Sunny,2.00,35.00,34.00,22.00,0.00,1017.00,9,10.00,11.00,Materials
Moderate rain,100.00,11.00,8.00,93.00,1.20,1007.00,3,7.00,26.00,Weather
Moderate rain,100.00,11.00,8.00,92.00,0.60,1007.00,3,8.00,27.00,Weather
Partly cloudy,25.00,13.00,13.00,68.00,0.00,1028.00,4,10.00,6.00,Subcontractor Performance
Cloudy,80.00,12.00,10.00,82.00,0.00,1010.00,3,10.00,20.00,Subcontractor Planning
Sunny,16.00,2.00,-2.00,75.00,0.00,1015.00,2,10.00,19.00,Delay By Others
Sunny,3.00,18.00,18.00,66.00,0.00,1016.00,5,10.00,12.00,Delay By Others
Cloudy,64.00,14.00,13.00,81.00,0.00,1002.00,3,10.00,17.00,Subcontractor Planning
Cloudy,64.00,14.00,13.00,81.00,0.00,1002.00,3,10.00,17.00,Subcontractor Planning
Overcast,100.00,5.00,2.00,56.00,0.00,1037.00,3,10.00,11.00,Planning
Partly cloudy,24.00,5.00,3.00,85.00,0.00,1015.00,3,10.00,10.00,Materials
Haze,100.00,3.00,3.00,81.00,0.00,1034.00,2,7.00,6.00,Materials
Sunny,2.00,27.00,27.00,35.00,0.00,1019.00,7,10.00,13.00,Materials
Partly cloudy,19.00,1.00,-1.00,81.00,0.00,1012.00,2,10.00,6.00,Safety
Partly cloudy,39.00,5.00,0.00,67.00,0.00,1024.00,2,10.00,22.00,Design Delays
Sunny,17.00,7.00,3.00,42.00,0.00,1021.00,3,10.00,20.00,Ground Condition
Partly cloudy,28.00,8.00,4.00,37.00,0.00,1021.00,3,10.00,20.00,Ground Condition
Partly cloudy,28.00,8.00,4.00,37.00,0.00,1021.00,3,10.00,20.00,Ground Condition
Partly cloudy,28.00,8.00,4.00,37.00,0.00,1021.00,3,10.00,20.00,Ground Condition
Partly cloudy,49.00,5.00,2.00,74.00,0.00,1010.00,2,10.00,11.00,Subcontractor Performance
Haze,100.00,7.00,5.00,87.00,0.30,1007.00,2,5.00,13.00,Subcontractor Performance
Cloudy,80.00,15.00,15.00,81.00,0.00,1014.00,4,10.00,11.00,Materials
Partly cloudy,31.00,6.00,4.00,87.00,0.00,1037.00,3,10.00,9.00,Delay By Others
Cloudy,56.00,6.00,2.00,66.00,0.00,1025.00,2,10.00,14.00,Subcontractor Interface
Sunny,1.00,26.00,25.00,31.00,0.00,1029.00,7,10.00,15.00,Planning
Sunny,2.00,26.00,26.00,29.00,0.00,1029.00,7,10.00,14.00,Planning
Sunny,1.00,26.00,25.00,31.00,0.00,1029.00,7,10.00,15.00,Planning
Sunny,2.00,26.00,26.00,29.00,0.00,1029.00,7,10.00,14.00,Planning
Overcast,100.00,12.00,11.00,78.00,0.00,1022.00,3,10.00,10.00,Subcontractor Performance
Sunny,22.00,13.00,11.00,56.00,0.00,1000.00,4,10.00,15.00,Safety
Sunny,22.00,13.00,11.00,56.00,0.00,1000.00,4,10.00,15.00,Safety
Cloudy,71.00,7.00,6.00,86.00,0.00,1041.00,2,10.00,6.00,Design Delays
Light sleet,99.00,4.00,0.00,81.00,0.30,1006.00,1,9.00,20.00,Subcontractor Planning
Overcast,100.00,12.00,9.00,87.00,0.00,1002.00,3,10.00,25.00,Planning
Sunny,0.00,1.00,-1.00,78.00,0.00,1039.00,2,10.00,7.00,Subcontractor Performance
Overcast,100.00,13.00,10.00,72.00,0.00,991.00,3,10.00,41.00,Design Delays
Overcast,100.00,13.00,10.00,72.00,0.00,991.00,3,10.00,41.00,Design Delays
Rain Shower,75.00,8.00,5.00,81.00,0.00,1002.00,2,10.00,19.00,Subcontractor Performance
Partly cloudy,33.00,2.00,0.00,86.00,0.00,1023.00,2,10.00,9.00,Subcontractor Performance
Overcast,91.00,6.00,2.00,73.00,0.00,998.00,2,10.00,23.00,Weather
Partly cloudy,68.00,21.00,21.00,64.00,0.00,1020.00,6,10.00,14.00,Ground Condition
Overcast,100.00,6.00,3.00,85.00,0.00,1012.00,2,10.00,12.00,Subcontractor Performance
Partly cloudy,49.00,13.00,12.00,59.00,0.00,1042.00,4,10.00,12.00,Planning
Cloudy,70.00,17.00,17.00,65.00,0.00,1027.00,4,10.00,19.00,Design Delays
Partly cloudy,60.00,24.00,25.00,45.00,0.00,1018.00,6,10.00,8.00,Plant
Partly cloudy,60.00,24.00,25.00,45.00,0.00,1018.00,6,10.00,8.00,Plant
Partly cloudy,64.00,23.00,24.00,46.00,0.00,1018.00,6,10.00,6.00,Plant
Heavy snow,100.00,2.00,-2.00,90.00,0.10,1011.00,1,3.00,13.00,Design Delays
Partly cloudy,75.00,19.00,19.00,73.00,0.00,1022.00,5,10.00,11.00,Design Delays
Partly cloudy,63.00,6.00,5.00,74.00,0.00,1036.00,3,10.00,8.00,Delay By Others
Partly cloudy,63.00,6.00,5.00,74.00,0.00,1036.00,3,10.00,8.00,Delay By Others
Partly cloudy,75.00,5.00,3.00,87.00,0.00,1036.00,1,10.00,7.00,Delay By Others
Sunny,0.00,0.00,-2.00,72.00,0.00,1037.00,2,10.00,5.00,Planning
Light rain,100.00,12.00,9.00,89.00,0.20,1001.00,3,9.00,25.00,Experience/Competence
Partly cloudy,41.00,19.00,19.00,51.00,0.00,1020.00,1,10.00,14.00,Subcontractor Performance
Sunny,4.00,18.00,18.00,47.00,0.00,1022.00,5,10.00,13.00,Design Delays
Sunny,4.00,18.00,18.00,47.00,0.00,1022.00,5,10.00,13.00,Design Delays
Sunny,4.00,18.00,18.00,47.00,0.00,1022.00,5,10.00,13.00,Design Delays
Clear,8.00,8.00,5.00,81.00,0.00,1027.00,1,10.00,13.00,Subcontractor Performance
Partly cloudy,25.00,9.00,6.00,62.00,0.00,1026.00,3,10.00,22.00,Safety
Partly cloudy,75.00,13.00,11.00,82.00,0.00,1010.00,3,10.00,19.00,Delay By Others
Partly cloudy,75.00,13.00,11.00,82.00,0.00,1010.00,3,10.00,19.00,Delay By Others
Partly cloudy,75.00,13.00,11.00,82.00,0.00,1010.00,3,10.00,19.00,Delay By Others
Partly cloudy,25.00,18.00,18.00,73.00,0.00,1020.00,5,10.00,15.00,Planning
Sunny,2.00,35.00,33.00,21.00,0.00,1017.00,8,10.00,13.00,Weather
Overcast,100.00,11.00,8.00,84.00,0.00,999.00,3,10.00,24.00,Subcontractor Planning
Cloudy,70.00,23.00,24.00,71.00,0.00,1014.00,5,10.00,18.00,Experience/Competence
Moderate rain,93.00,15.00,15.00,81.00,1.50,1008.00,4,7.00,16.00,Weather
Sunny,18.00,6.00,2.00,82.00,0.00,998.00,3,10.00,22.00,Subcontractor Planning
Sunny,18.00,6.00,2.00,82.00,0.00,998.00,3,10.00,22.00,Subcontractor Planning
Sunny,22.00,13.00,12.00,79.00,0.00,1013.00,4,10.00,8.00,Safety
Partly cloudy,67.00,11.00,9.00,72.00,0.00,1016.00,4,10.00,14.00,Subcontractor Performance
Partly cloudy,75.00,19.00,19.00,52.00,0.10,1020.00,5,10.00,30.00,Delay By Others
Partly cloudy,75.00,19.00,19.00,52.00,0.10,1020.00,5,10.00,30.00,Delay By Others
Patchy rain possible,92.00,5.00,3.00,87.00,0.00,1022.00,1,10.00,9.00,Subcontractor Interface
Overcast,100.00,12.00,11.00,71.00,0.00,1023.00,3,10.00,15.00,Resource
Overcast,85.00,10.00,8.00,64.00,0.00,1025.00,3,10.00,16.00,Resource
Sunny,9.00,1.00,-1.00,77.00,0.00,1022.00,2,10.00,6.00,Subcontractor Interface
Patchy rain possible,86.00,20.00,20.00,57.00,0.10,1009.00,4,9.00,21.00,Design Delays
Partly cloudy,19.00,12.00,12.00,50.00,0.00,1027.00,4,10.00,6.00,Subcontractor Interface
Sunny,13.00,3.00,-1.00,80.00,0.00,1014.00,2,10.00,19.00,Subcontractor Planning
Sunny,13.00,7.00,4.00,73.00,0.00,998.00,3,10.00,21.00,Resource
Overcast,96.00,9.00,7.00,92.00,0.00,1016.00,2,10.00,14.00,Environmental
Overcast,100.00,11.00,8.00,78.00,0.00,1000.00,3,10.00,24.00,Subcontractor Planning
Cloudy,71.00,7.00,4.00,96.00,0.00,1016.00,1,10.00,14.00,Subcontractor Performance
Sunny,32.00,7.00,3.00,57.00,0.00,1014.00,3,10.00,28.00,Weather
Partly cloudy,41.00,10.00,5.00,61.00,0.00,991.00,3,10.00,58.00,Weather
Partly cloudy,60.00,9.00,4.00,60.00,0.00,991.00,3,10.00,59.00,Weather
Sunny,0.00,2.00,0.00,74.00,0.00,1038.00,2,10.00,6.00,Weather
Sunny,12.00,29.00,28.00,37.00,0.00,1029.00,7,10.00,15.00,Ground Condition
Sunny,12.00,29.00,28.00,37.00,0.00,1029.00,7,10.00,15.00,Ground Condition
Sunny,5.00,15.00,14.00,57.00,0.00,1012.00,4,10.00,18.00,Safety
Partly cloudy,48.00,12.00,10.00,88.00,0.00,1020.00,4,10.00,20.00,Resource
Sunny,0.00,17.00,17.00,38.00,0.00,1022.00,5,10.00,15.00,Plant
Overcast,100.00,10.00,7.00,89.00,0.00,1021.00,3,10.00,26.00,Resource
Cloudy,76.00,6.00,1.00,68.00,0.00,1022.00,2,10.00,31.00,Design Delays
Sunny,0.00,17.00,17.00,45.00,0.00,1019.00,5,10.00,7.00,Design Delays
Overcast,80.00,4.00,1.00,93.00,0.00,1026.00,1,7.00,8.00,Subcontractor Performance
Overcast,80.00,4.00,1.00,93.00,0.00,1026.00,1,7.00,8.00,Subcontractor Performance
Mist,47.00,2.00,2.00,96.00,0.00,1034.00,1,2.00,3.00,Subcontractor Interface
Partly cloudy,46.00,27.00,27.00,36.00,0.00,1009.00,7,10.00,13.00,Ground Condition
Partly cloudy,46.00,27.00,27.00,36.00,0.00,1009.00,7,10.00,13.00,Ground Condition
Overcast,100.00,18.00,18.00,81.00,0.00,1009.00,4,10.00,28.00,Design Delays
Partly cloudy,52.00,7.00,6.00,71.00,0.00,1009.00,3,10.00,5.00,Subcontractor Planning
Patchy rain possible,100.00,11.00,9.00,69.00,0.00,979.00,3,10.00,15.00,Subcontractor Planning
Sunny,10.00,-2.00,-6.00,88.00,0.00,1014.00,2,10.00,11.00,Weather
Sunny,10.00,15.00,15.00,74.00,0.00,1021.00,4,10.00,7.00,Delay By Others
Overcast,100.00,11.00,9.00,92.00,0.00,1005.00,3,10.00,18.00,Subcontractor Planning
Overcast,100.00,11.00,9.00,92.00,0.00,1005.00,3,10.00,18.00,Subcontractor Planning
Cloudy,67.00,8.00,3.00,66.00,0.00,1008.00,2,10.00,36.00,Subcontractor Performance
Partly cloudy,75.00,16.00,16.00,48.00,0.00,1025.00,5,10.00,4.00,Supplier Performance
Sunny,1.00,0.00,-4.00,76.00,0.00,1009.00,2,10.00,13.00,Weather
Cloudy,62.00,15.00,13.00,63.00,0.00,1012.00,3,10.00,26.00,Weather
Patchy rain possible,65.00,19.00,19.00,61.00,0.10,1011.00,4,10.00,26.00,Plant
Sunny,13.00,20.00,20.00,45.00,0.00,1018.00,6,10.00,21.00,Weather
Light rain shower,83.00,8.00,4.00,82.00,0.10,1007.00,2,10.00,34.00,Design Delays
Light rain shower,83.00,8.00,4.00,82.00,0.10,1007.00,2,10.00,34.00,Design Delays
Light rain shower,83.00,8.00,4.00,82.00,0.10,1007.00,2,10.00,34.00,Design Delays
Light rain shower,83.00,8.00,4.00,82.00,0.10,1007.00,2,10.00,34.00,Design Delays
Sunny,1.00,28.00,28.00,40.00,0.00,1026.00,7,10.00,14.00,Plant
Sunny,2.00,26.00,27.00,45.00,0.00,1026.00,7,10.00,13.00,Plant
Overcast,81.00,23.00,24.00,67.00,0.00,1014.00,5,10.00,21.00,Design Delays
Partly cloudy,51.00,22.00,22.00,41.00,0.00,1016.00,6,10.00,13.00,Safety
Partly cloudy,34.00,21.00,21.00,43.00,0.00,1016.00,6,10.00,13.00,Safety
Cloudy,63.00,17.00,17.00,64.00,0.00,1018.00,4,10.00,9.00,Delay By Company
Sunny,0.00,18.00,18.00,68.00,0.00,1019.00,5,10.00,13.00,Materials
Rain,0.00,6.00,2.00,75.00,0.00,1013.00,2,10.00,19.00,Safety
Overcast,100.00,8.00,5.00,91.00,0.00,1020.00,2,7.00,23.00,Design Delays
Sunny,5.00,3.00,2.00,90.00,0.00,1039.00,2,10.00,4.00,Subcontractor Performance
Sunny,31.00,16.00,16.00,69.00,0.00,1025.00,5,10.00,3.00,Subcontractor Performance
Cloudy,60.00,10.00,7.00,50.00,0.00,997.00,3,10.00,25.00,Weather
Partly cloudy,75.00,8.00,7.00,57.00,0.00,1032.00,3,10.00,11.00,Planning
Overcast,89.00,11.00,8.00,82.00,0.00,1004.00,3,10.00,23.00,Weather
Partly cloudy,52.00,16.00,16.00,86.00,0.00,1012.00,5,10.00,11.00,Subcontractor Interface
Partly cloudy,75.00,19.00,19.00,68.00,0.00,1003.00,6,10.00,26.00,Subcontractor Performance
Light rain,100.00,9.00,7.00,91.00,0.30,1012.00,2,7.00,15.00,Ground Condition
Light rain,100.00,9.00,7.00,91.00,0.70,1012.00,2,7.00,15.00,Ground Condition
Light drizzle,100.00,9.00,7.00,90.00,0.10,1013.00,2,4.00,14.00,Ground Condition
Cloudy,70.00,17.00,17.00,76.00,0.00,1008.00,4,10.00,28.00,Delay By Others
Overcast,66.00,3.00,1.00,71.00,0.00,1020.00,1,10.00,12.00,Delay By Others
Overcast,66.00,3.00,1.00,71.00,0.00,1020.00,1,10.00,12.00,Delay By Others
Overcast,66.00,3.00,1.00,71.00,0.00,1020.00,1,10.00,12.00,Delay By Others
Partly cloudy,75.00,15.00,15.00,48.00,0.00,1016.00,4,10.00,15.00,Subcontractor Performance
Partly cloudy,75.00,15.00,15.00,48.00,0.00,1016.00,4,10.00,15.00,Subcontractor Performance
Sunny,0.00,31.00,31.00,43.00,0.00,1018.00,8,10.00,6.00,Materials
Light rain shower,62.00,17.00,17.00,76.00,0.90,1009.00,4,10.00,13.00,Subcontractor Planning
Cloudy,58.00,16.00,16.00,56.00,0.00,1017.00,4,10.00,6.00,Delay By Others
Partly cloudy,42.00,10.00,10.00,73.00,0.00,1024.00,4,10.00,6.00,Subcontractor Planning
Cloudy,78.00,17.00,17.00,80.00,0.00,1010.00,4,10.00,16.00,Plant
Partly cloudy,62.00,5.00,1.00,83.00,0.00,1027.00,2,10.00,16.00,Subcontractor Planning
Cloudy,70.00,17.00,17.00,76.00,0.00,1008.00,4,10.00,28.00,Safety
Cloudy,67.00,7.00,6.00,66.00,0.00,1036.00,2,10.00,8.00,Materials
Sunny,4.00,39.00,39.00,12.00,0.00,1016.00,9,10.00,19.00,Weather
Cloudy,73.00,7.00,5.00,87.00,0.00,1003.00,2,10.00,10.00,Resource
Thundery outbreaks possible,100.00,11.00,9.00,93.00,0.00,1005.00,3,9.00,18.00,Materials
Sunny,0.00,9.00,8.00,69.00,0.00,1031.00,3,10.00,7.00,Design Delays
Partly cloudy,28.00,15.00,14.00,66.00,0.00,1012.00,5,10.00,19.00,Plant
Overcast,100.00,4.00,-1.00,92.00,0.00,987.00,1,10.00,28.00,Subcontractor Performance
Partly cloudy,50.00,26.00,26.00,42.00,0.00,1017.00,7,10.00,11.00,Subcontractor Planning
Overcast,100.00,14.00,13.00,80.00,0.00,1016.00,3,10.00,16.00,Subcontractor Performance
Sunny,0.00,9.00,9.00,71.00,0.00,1038.00,3,10.00,2.00,Ground Condition
Sunny,0.00,9.00,9.00,71.00,0.00,1038.00,3,10.00,2.00,Ground Condition
Partly cloudy,40.00,8.00,5.00,85.00,0.00,996.00,3,10.00,17.00,Weather
Overcast,100.00,11.00,8.00,78.00,0.00,1000.00,3,10.00,24.00,Plant
Sunny,0.00,27.00,26.00,34.00,0.00,1031.00,8,10.00,4.00,Plant
Sunny,0.00,27.00,26.00,34.00,0.00,1031.00,8,10.00,4.00,Plant
Partly cloudy,75.00,18.00,18.00,56.00,1.20,1016.00,4,10.00,24.00,Planning
Light rain,87.00,12.00,10.00,91.00,0.40,1010.00,3,9.00,21.00,Communication
Sunny,27.00,25.00,25.00,36.00,0.00,1018.00,6,10.00,8.00,Materials
Cloudy,62.00,4.00,0.00,78.00,0.00,1026.00,1,10.00,12.00,Plant
Cloudy,81.00,19.00,19.00,65.00,0.00,1027.00,4,10.00,13.00,Subcontractor Planning
Heavy rain,100.00,20.00,20.00,87.00,3.20,1017.00,4,6.00,3.00,Delay By Others
Patchy rain possible,100.00,8.00,5.00,95.00,0.10,983.00,2,10.00,14.00,Plant
Rain,75.00,8.00,5.00,66.00,0.00,1009.00,3,10.00,20.00,Supplier Performance
Patchy rain possible,73.00,5.00,4.00,75.00,0.00,1027.00,1,10.00,5.00,Planning
Partly cloudy,22.00,10.00,10.00,82.00,0.00,1021.00,1,10.00,6.00,Design Delays
Clear,12.00,10.00,9.00,85.00,0.00,1021.00,1,10.00,6.00,Design Delays
Haze,100.00,12.00,11.00,82.00,0.00,1019.00,3,5.00,11.00,Subcontractor Interface
Overcast,90.00,13.00,11.00,78.00,0.00,1008.00,3,10.00,13.00,Resource
Overcast,83.00,18.00,18.00,70.00,0.00,1022.00,4,10.00,13.00,Plant
Partly cloudy,75.00,6.00,2.00,75.00,0.00,1023.00,3,10.00,22.00,Plant
Partly cloudy,75.00,12.00,10.00,67.00,0.00,1027.00,3,10.00,20.00,Delay By Others
Overcast,93.00,3.00,-1.00,83.00,0.00,1031.00,1,10.00,17.00,Subcontractor Performance
Sunny,0.00,0.00,-2.00,72.00,0.00,1037.00,2,10.00,5.00,Subcontractor Performance
Sunny,0.00,0.00,-2.00,74.00,0.00,1037.00,2,10.00,5.00,Subcontractor Performance
Sunny,3.00,22.00,25.00,63.00,0.00,1019.00,6,10.00,3.00,Subcontractor Planning
Sunny,16.00,13.00,12.00,79.00,0.00,1017.00,4,10.00,15.00,Plant
Sunny,16.00,13.00,12.00,79.00,0.00,1017.00,4,10.00,15.00,Plant
Sunny,9.00,1.00,-1.00,77.00,0.00,1022.00,2,10.00,6.00,Weather
Partly cloudy,47.00,17.00,17.00,56.00,0.00,1026.00,5,10.00,21.00,Planning
Partly cloudy,43.00,18.00,18.00,79.00,0.00,1019.00,5,10.00,12.00,Resource
Partly cloudy,36.00,14.00,13.00,74.00,0.00,1014.00,1,10.00,14.00,Subcontractor Interface
Sunny,2.00,2.00,1.00,74.00,0.00,1042.00,2,10.00,5.00,Subcontractor Performance
Overcast,70.00,20.00,20.00,59.00,0.00,1017.00,4,10.00,22.00,Subcontractor Performance
Thundery outbreaks possible,92.00,12.00,11.00,93.00,0.00,1015.00,3,9.00,13.00,Subcontractor Performance
Overcast,100.00,12.00,11.00,90.00,0.00,1015.00,3,10.00,14.00,Subcontractor Performance
Sunny,20.00,28.00,27.00,31.00,0.00,1015.00,7,10.00,18.00,Ground Condition
Partly cloudy,68.00,21.00,21.00,57.00,0.00,1009.00,6,10.00,13.00,Materials
Light rain shower,100.00,11.00,8.00,87.00,0.50,953.00,3,10.00,24.00,Design Delays
Overcast,92.00,8.00,5.00,90.00,0.00,1023.00,2,10.00,14.00,Delay By Others
Overcast,64.00,20.00,20.00,63.00,0.00,1008.00,5,10.00,12.00,Plant
Overcast,64.00,20.00,20.00,63.00,0.00,1008.00,5,10.00,12.00,Plant
Partly cloudy,50.00,23.00,25.00,50.00,0.00,1007.00,6,10.00,17.00,Plant
Light drizzle,98.00,10.00,9.00,82.00,0.10,1002.00,3,2.00,9.00,Planning
Sunny,3.00,4.00,4.00,71.00,0.00,1037.00,2,10.00,1.00,Design Delays
Partly cloudy,25.00,22.00,24.00,57.00,0.00,1010.00,7,10.00,7.00,Supplier Performance
Partly cloudy,42.00,16.00,16.00,62.00,0.00,1015.00,5,10.00,24.00,Safety
Moderate rain,100.00,15.00,14.00,89.00,2.20,1008.00,3,6.00,16.00,Design Delays
Moderate rain,84.00,19.00,19.00,92.00,0.90,1016.00,4,7.00,5.00,Plant
Moderate or heavy rain shower,100.00,20.00,20.00,84.00,1.00,1018.00,4,7.00,5.00,Plant
Partly cloudy,43.00,15.00,15.00,46.00,0.00,1027.00,1,10.00,12.00,Design Delays
Sunny,0.00,20.00,20.00,37.00,0.00,1024.00,6,10.00,13.00,Design Delays
Clear,11.00,20.00,20.00,33.00,0.00,1025.00,1,10.00,14.00,Design Delays
Partly cloudy,41.00,10.00,8.00,69.00,0.00,1010.00,4,10.00,18.00,Delay By Others
Overcast,86.00,14.00,15.00,66.00,0.00,1026.00,3,10.00,4.00,Engineering
Partly cloudy,54.00,19.00,19.00,46.00,0.00,1026.00,5,10.00,3.00,Engineering
Cloudy,70.00,18.00,18.00,48.00,0.00,1026.00,4,10.00,3.00,Engineering
Sunny,3.00,0.00,-1.00,67.00,0.00,1019.00,2,10.00,4.00,Supplier Performance
Light rain shower,75.00,20.00,20.00,53.00,0.20,1011.00,4,10.00,19.00,Subcontractor Planning
Overcast,92.00,21.00,21.00,46.00,0.00,1011.00,5,10.00,17.00,Subcontractor Planning
Partly cloudy,60.00,16.00,16.00,84.00,0.00,1007.00,5,10.00,11.00,Subcontractor Interface
Partly cloudy,46.00,9.00,7.00,65.00,0.00,1032.00,3,10.00,10.00,Delay By Others
Moderate snow,100.00,3.00,-3.00,88.00,0.10,983.00,1,7.00,33.00,Weather
Partly cloudy,53.00,17.00,17.00,80.00,0.00,1014.00,1,10.00,17.00,Engineering
Partly cloudy,26.00,15.00,15.00,62.00,0.00,1026.00,5,10.00,5.00,Covid-19
Partly cloudy,26.00,13.00,14.00,67.00,0.00,1026.00,4,10.00,4.00,Covid-19
Partly cloudy,26.00,13.00,14.00,67.00,0.00,1026.00,4,10.00,4.00,Covid-19
Sunny,0.00,5.00,3.00,75.00,0.00,1030.00,3,10.00,10.00,Ground Condition
Sunny,0.00,5.00,3.00,75.00,0.00,1030.00,3,10.00,10.00,Ground Condition
Partly cloudy,22.00,16.00,16.00,48.00,0.00,1006.00,5,10.00,13.00,Subcontractor Performance
Partly cloudy,26.00,24.00,25.00,46.00,0.00,1020.00,6,10.00,10.00,Environmental
Sunny,7.00,1.00,-1.00,71.00,0.00,1022.00,2,10.00,8.00,Delay By Others
Cloudy,48.00,19.00,19.00,79.00,0.00,1014.00,4,10.00,14.00,Subcontractor Performance
Partly cloudy,25.00,7.00,4.00,90.00,0.00,1009.00,3,10.00,12.00,Subcontractor Performance
Sunny,13.00,12.00,11.00,74.00,0.00,1028.00,4,10.00,6.00,Resource
Overcast,100.00,6.00,5.00,75.00,0.00,1037.00,1,10.00,4.00,Design Delays
Sunny,9.00,10.00,9.00,68.00,0.00,1000.00,4,10.00,14.00,Resource
Sunny,0.00,16.00,16.00,42.00,0.00,1027.00,4,10.00,13.00,Design Delays
Partly cloudy,44.00,13.00,12.00,66.00,0.00,1013.00,4,10.00,20.00,Plant
Light drizzle,100.00,14.00,12.00,85.00,0.00,1006.00,3,5.00,22.00,Design Delays
Sunny,0.00,7.00,5.00,64.00,0.00,1035.00,3,10.00,8.00,Subcontractor Performance
Partly cloudy,50.00,8.00,8.00,61.00,0.00,1034.00,2,10.00,6.00,Subcontractor Performance
Light drizzle,100.00,8.00,6.00,97.00,0.10,1023.00,2,4.00,12.00,Supplier Performance
Partly cloudy,28.00,15.00,14.00,84.00,0.00,1016.00,4,10.00,12.00,Design Delays
Cloudy,65.00,14.00,12.00,66.00,0.00,1012.00,3,10.00,24.00,Weather
Partly cloudy,75.00,13.00,11.00,67.00,0.00,1021.00,4,10.00,28.00,Design Delays
Sunny,23.00,10.00,7.00,74.00,0.00,1019.00,3,10.00,19.00,Design Delays
Sunny,9.00,18.00,18.00,59.00,0.00,1022.00,5,10.00,9.00,Materials
Sunny,9.00,18.00,18.00,59.00,0.00,1022.00,5,10.00,9.00,Materials
Partly cloudy,24.00,5.00,3.00,85.00,0.00,1015.00,3,10.00,10.00,Weather
Overcast,100.00,10.00,8.00,81.00,0.00,1009.00,3,10.00,18.00,Delay By Others
Overcast,100.00,11.00,8.00,80.00,0.00,1009.00,3,10.00,18.00,Delay By Others
Overcast,100.00,10.00,8.00,81.00,0.00,1009.00,3,10.00,18.00,Delay By Others
Partly cloudy,50.00,18.00,18.00,60.00,0.00,1025.00,4,10.00,26.00,Design Delays
Sunny,11.00,0.00,-4.00,83.00,0.00,1013.00,2,10.00,11.00,Subcontractor Performance
Sunny,11.00,0.00,-4.00,83.00,0.00,1013.00,2,10.00,11.00,Subcontractor Performance
Sunny,12.00,0.00,-4.00,81.00,0.00,1013.00,2,10.00,11.00,Subcontractor Performance
Sunny,11.00,0.00,-4.00,83.00,0.00,1013.00,2,10.00,11.00,Subcontractor Performance
Patchy rain possible,81.00,18.00,18.00,77.00,0.00,1015.00,4,10.00,9.00,Subcontractor Performance
Cloudy,83.00,5.00,4.00,90.00,0.00,1015.00,1,10.00,4.00,Design Delays
Light drizzle,100.00,5.00,1.00,82.00,0.40,1023.00,2,2.00,19.00,Design Delays
Light rain,98.00,13.00,12.00,86.00,0.60,1002.00,3,9.00,7.00,Subcontractor Interface
Light rain shower,85.00,19.00,19.00,54.00,0.00,1024.00,4,10.00,12.00,Subcontractor Performance
Sunny,25.00,14.00,14.00,85.00,0.00,1016.00,4,10.00,13.00,Design Delays
Partly cloudy,34.00,20.00,20.00,62.00,0.00,1015.00,5,10.00,20.00,Design Delays
Sunny,25.00,14.00,14.00,85.00,0.00,1016.00,4,10.00,13.00,Design Delays
Sunny,8.00,6.00,3.00,70.00,0.00,1027.00,3,10.00,15.00,Design Delays
Sunny,1.00,28.00,28.00,40.00,0.00,1026.00,7,10.00,14.00,Ground Condition
Sunny,1.00,28.00,28.00,40.00,0.00,1026.00,7,10.00,14.00,Ground Condition
Sunny,17.00,16.00,16.00,62.00,0.00,1021.00,5,10.00,10.00,Subcontractor Performance
Clear,21.00,18.00,18.00,50.00,0.00,1020.00,1,10.00,4.00,Ground Condition
Clear,21.00,18.00,18.00,50.00,0.00,1020.00,1,10.00,4.00,Ground Condition
Sunny,0.00,6.00,4.00,71.00,0.00,1031.00,3,10.00,9.00,Plant
Overcast,100.00,10.00,8.00,65.00,0.00,1026.00,3,10.00,15.00,Design Delays
Overcast,100.00,10.00,8.00,65.00,0.00,1026.00,3,10.00,15.00,Design Delays
Overcast,85.00,10.00,8.00,64.00,0.00,1025.00,3,10.00,16.00,Design Delays
