text,label
Manhole keys are broken,Hazard
Car park frozen overnight,Hazard
Couple of large stones in field which can be a tripping hazard,Hazard
Good precautionary use of nappies under the small COSHH store ,Good Practice
Soil Engineering passed over their final WTNs after demob ,Good Practice
Chairs left in walkways and open areas of compound making trip hazards around site. Poor behaviour from individuals,Hazard
During a site visit to the A14 Brampton - Two cars were taken rather than a car share due to a lack of planning/staff being on leave. ,Hazard
New Three Shires ecologists medical not uploaded to Highways Passport,Hazard
"Really enjoyed the fire marshal course run by Graham Deakins, good delivery and took time to go over anything class was unsure of",Good Practice
"(Porthole)  did cordrill for window sample at footpath junction 22, it backfilled with tarmac but it sunk deep which can coz trip hazard for public ",Hazard
Some of the sand bags holding the fence up are falling to pieces with the sand spilling out ,Good Practice
Environmental detailed design familiarisation visit for flood risk team to view (1) Inworth Road and the location of attenuation ponds (2) Park Bridge/Domsey Brook (3) River Blackwater crossing and (4) Brain bridge and temporary watercourse crossing locations.,Good Practice
FLS told Three Shires to take the seed box they were unable to unload back to the yard to find a safe place to unload trailer,Good Practice
I would like to thank the night staff for doing such a good job of clearing up after themselves on thd Friday before Christmas..we'll done ??,Good Practice
"Given the recent EDI day has passed and we’ve discussed inclusion, it would be fair to say that access to site welfare isn’t inclusive for any wheelchair users that could attend site. Couldn’t the pathways be slabbed for better access?",Hazard
"HSM double booked crews for todays T/M, with one crew not having a highways passport",Hazard
Too dark in soil engineering area to do 07.00 patrol. ,Hazard
Leaving rubbish bag and vapour in TM AREA  in compound ,Hazard
Storeman provides great service and helps us with daily ppe,Good Practice
Great to hear the team is reviewing office efficiencies at Kelvedon,Good Practice
Weekend/night toilet muddy footprints on the floor and dirty shower tray,Hazard
"a reckless driver on the a120. Fellow colleagues and I observed a driver almost hit the traffic cones away from where we were working, she then drove down the on-slip ramp from the a120 going onto the a12 northbound, we kept observing as she stopped, tried turning around and reviersing back up the slip road. A second vehicle started driving down the slip road and put their hazard lights on to prevent the reckless driver carrying on back up the slip. After a few moments, another car stopped as they couldn't pass, eventually the lady then drove off towards the a12 northbound towards the traffic build up from the A12 jcn26 Road closure. Once the lady had driven off the first car that pulled up had pulled over to one side and called the police and reprted this. Night shift site supervisor was informed. ",Hazard
HSM crew with no highways passport sent away.,Good Practice
Chain in the car park have been re-attached to the cones,Good Practice
Pegs left in Vellacott field,Hazard
"Food waste has been put on top of the skip, this has meant that flys are swarming on it. This should be put in the kitchen bins",Hazard
people crossing the PPE ZONE between stores and company vehicles car park without ppe.,Hazard
"Having worked with Vikash for only two weeks,i have found him to be a good worker,keen to help and engages well.",Good Practice
Walking from office to ladies loo I tripped & stumbled in the gravel ,Hazard
"Close to entrance of compound there were multiple large vehicles entering & exiting the compound, including rigid hiabs. One hiab  was parked in front of the site vehicles & fuel bowser was reversing out of the area by generators. The operator for hiab was working along side his vehicle As the fuel browser reversed.   The bowser reversed as a vehicle was entering the compound straight into a congested area. I heard someone shout stop thinking it was because the lorry driver was in close proximity but it was for another person about to cross infront of the incoming vehicle. ",Hazard
RSK staff not signing out of site,Hazard
New A12 project office - 18 King Williams is very good. Good heating and welfare facility. Well done to Paul S for sourcing good office close by to previous office. ,Good Practice
Waste skip requires emptying ,Hazard
Clean tidy yard,Good Practice
Mud on road on exit from Strutt,Hazard
Sign needs securing,Hazard
"For my CTRM i had to check all walkways for blockage in case of a fire. Each one was clear of obstructions, if we were going to have a fire everyone would be able to get to the muster point safely",Good Practice
Working against the flow of traffic has no safety benefit as when tracing We have to walk both directions when tracing. Having to reverse vehicles inside the tm is an unnecessary risk . We need the vehicles close to us for the equipment and a safety barrier against drivers.,Hazard
"Good idea by Matt Hunter to put the observation QR code as his teams picture, great reminder in getting people to submit observations",Good Practice
Could we potentially switch off/remove the fuses from the hand driers in the toilets? We’ve got paper towels available. Might make a small energy saving?,Hazard
Three Shires machine operator operating machine with no seat belt on,Hazard
Subcontractor using the ladies toilet as the door was open and sign was not visible ,Hazard
"Marriott drilling continues to park incorrectly and take up more space, another vehicle can fit if parked correctly ",Hazard
Keys to the cabins in the compound don't have tags,Hazard
Create a safety barrier for deliveries when forklift is moving,Good Practice
On site at 21:30 the whole site power is going on and off,Hazard
Temperature in monument office is too cold. Air con units are pumping out cold air. Sitting with a coat on in the iffice,Hazard
Made aware by my team..digging tools left in poor condition (Not Cleaned after use),Hazard
Well done to the Kelvedon Team for assisting the Girl Guides (Kay’s guide group) in collecting old towels to support the Aqua box charity to provide clean water worldwide. Thanks team!,Good Practice
Large stones removed from yard to minimise trip hazard,Good Practice
Not enough fire marshals or first aiders appointed from the staff who work frequently at the London office ,Hazard
"Operatives briefed to be vigilant of their surroundings and slips, trips and falls",Good Practice
"Driving into compound this morning a tractor/trailer was manoeuvring by turning & reversing to the left of the security hut. Being seen back by other operative & watched by security guard, neither noticed that the seat belt light was not on or stopped him to get it on ",Hazard
Visitor to site not obeying speed limit,Hazard
On inspection it appears that the safety risk assessment on display in the site office is due a review - it may be the copy just needs updating ,Hazard
Paper posters has fallen down next to the heater in the ladies toilet,Hazard
Portable air conditioning units brought into the Monument office but the connection cable still lying on floor. Tripped on the power cable while going to kitchen.,Hazard
Good practice - maintenance of walkways,Good Practice
Office only running the dishwasher when full so it’s not wasteful ,Good Practice
MHFA posters not updated with correct contact information from individuals completing the course last summer. Also out of date branding.,Hazard
 Extremely bad weather conditions causing ground conditions to become poor on site.,Hazard
Single ladies toilet is blocked ,Hazard
Chevron are sending people for induction without booking them in,Hazard
Ripped sand bag holding down fire extinguisher trolley by induction room  ,Hazard
Window leaking,Hazard
Welfare’s ar clean and tidy in regular basis ,Good Practice
Missing eyewash vials in the office kitchen have been replaced,Good Practice
The Reverse Parking signs have been backed with wood to ensure their longevity.,Good Practice
Audible bleep,Hazard
Unidentified and unreported spill in the compound by COSHH store,Hazard
Environmental team have set up iPads meaning that contact targeted risk monitoring can be done paperless,Good Practice
Plastic etc in the heap,Hazard
"what is the point in having a desk booking system if no one books a desk? Turned up to London office after booking a desk to find it occupied, that person being a regular so dont think to book. ",Hazard
Jacobs operatives not signing in to site register located in canteen ,Hazard
Soil engineering store container door is open (unlocked) I had reported their supervisor Roy yesterday again when i was patrolling i saw  the store of container is left open (unlocked),Hazard
New turf laid in belchem after digging trench as per farmers request.,Good Practice
Back area of compound for test area are stone and other ground material that could be a trip hazard ,Hazard
Lord Reyligh site completed with new post installed as requested from farmer,Good Practice
All the hand gel sanitiser it’s out of date require to be exchanged ,Hazard
Emergency exit locked key is not present ,Hazard
A few aerosols ended up in the old bin and not punctured as per new process.,Hazard
Receiving  ppe used by somebody else and not  being clean deteriorated in special the fire proof ppe used in trench we have to take home and use in personal washing machine after using in trench in contaminated ground ,Hazard
"Asked for a small map labelling all areas on site, in order to put in the correct location on the map when an observation is raised",Good Practice
Site supervisor and operative cleared away litter that was near compound entrance,Good Practice
The canteen fire door is extremely hard to open when shut ,Hazard
Red skip needs emptying ,Hazard
TM install vehicle parked over pedestrian walkway causing impossible walkway or even potential collision with vehicle and pedestrian coming to harm,Hazard
Jacobs asking for a RAMs re3view on the morning of coming to site,Hazard
Fence support need turning round,Hazard
Gazebo has been put out to shield me and my team from the sun when I go for my lunch ,Good Practice
Thank you to the Kelvedon site team for hosing the environmental site visit for the design team to familirise themselves with the A12 scheme (a number of the team are new ,Good Practice
Signs in the yard not placed in order making it hard to find the one you want,Hazard
Smell of gas,Hazard
Complaint from general public for closing roads,Hazard
"Whilst working on sit , we had a visit from Costain  management ,I asked  do there supervisors carry a devib in there vehicles when out and about  on site, as when working in fields we are more than ten minutes from site compound, ",Good Practice
Please could the night staff stop putting their boots on the chairs in the canteen...not very nice if other people want to sit in these ,Good Practice
Saw the site team ensuring there was a shaded outdoor space for the forthcoming sunny weather,Good Practice
Kelvedon compound is proudly displaying the pride flag ,Good Practice
Light on in training room. Unable to turn off as door is locked,Hazard
"Could toilet rolls and hand towels  be removed prior to being moved as they get soaked and are wasted, I've thrown a lot away",Hazard
New LPG generator fitted in compound replacing the diesel  generator lowering our emissions,Good Practice
Red zone training followed by every site op and machine driver ,Good Practice
There is a lack of training around expenses,Hazard
There is no observation app QR code poster in the women's drying room,Good Practice
Charity clarification for where the money is going too and make sure this is displayed onsite for operatives and will help encourage them to raise them if they know where it is going.,Hazard
"With the change of branding and email signatures, it would be worth while the new signatures and logo’s being sent out to all so that email signatures can be made consistent ",Hazard
Nappy being used under COSHH storage unit as a second layer of protection,Good Practice
The water outside is still not being covered up and uscat risk of going green in the sunlight ,Hazard
"Lewis in the gate has mentioned to myself that due to the very hot dry weather and increased vehicle movements at the compound currently, we may need some dust suppression/water spraying to be done. Currently not too much of a concern due to low winds but this can change very quickly ",Hazard
"The soap dispensers are not near the sinks ,so may cause a slip hazard if it gets spilt from their hands over to the sink .",Hazard
G has placed a nappy underneath the old car battery that was found on-site last week,Good Practice
All staff evacuated the building and checked all other areas in the compound in a calm and timely manber,Good Practice
COSHH streams have been segregated ,Good Practice
Requirement to log and be mindful of wildlife habitat features e.g bat roosts & badger setts,Good Practice
Costain not supplied site with fuel card for electric vehicle,Hazard
No fire extinguisher next to diesel coshh container. In event of fire operatives would need to navigate small gap between generator and coshh container to get to the fire extinguishers,Hazard
"On inspection a number of the fire extinguishers at the site compound are either over due, or due soon for annual inpspection",Hazard
Cars with dirty number plates and lights washed to make them road legal,Good Practice
The person on the gate is doing a brilliant job!,Good Practice
Bottled water has run out at the offices,Hazard
Lewis on the gate checked with one of our waste collectors if they had the appropriate paperwork. They didn’t initially so he made us aware and the issue was resolved,Good Practice
"Traffic lights on BH4202 on hire from Chevron, battery dead on arrival",Hazard
The heating unit in the ladies single toilet is hanging off the wall,Hazard
Fire risk assessment carried out at new offices in London. Landlord needs to provide their fra to Costain as there are inadequate facilities for wheelchair users to egress the building in the event of a fire. Evac chair is located on a floor that no one has access to at present.,Hazard
The full skip has been emptied,Good Practice
Three Shires have re-ordered the correct gate for Area 18 after the wrong one was delivered,Good Practice
"Would just like to say what a good job Graham did of the Fire Safety Training, he was concise inclusive and made it relevant Good job!!!",Good Practice
"In womans/shower toilet, someone has shaven in the sink and not cleaned up after themselves ",Hazard
4 x 4 has a puncture caused by a screw,Hazard
Hot weather - everyone ensuring that doors and windows are kept closed and that A/C units are on to keep temperatures cool. Essentially using the power of the sun to combat the heat from the sun!,Good Practice
Tracked dumper driver NPORS card has no CSCS hologram,Hazard
A Three shires plant chapter 8 compliant,Good Practice
Initial consultation with ECC very positive regarding ordinary watercourse consent required for compound outflow.,Good Practice
Soil engineering full ppe,Good Practice
Trial pit engineer wearing short sleeve PPE t-shirt,Hazard
The hot water tap is not working at all now ,Good Practice
Fire extinguisher in musta point and smoking area replaced ,Good Practice
"A positive observation. ‘Is how the workers welfare and well being is being prioritised over work, every morning in the briefing we are being reassured that it is fine to take breaks whenever necessary due to hot weather conditions’  ",Good Practice
Cars in the car park were found to not be road legal with dirty number plates and lights,Hazard
Light on in training room,Hazard
"Signage - whilst it is good to see walkways in place with signage, mandatory signage for walkways (and reverse parking for example) should be blue with white writing for mandatory requirements. Yellow signs are for warning signs",Hazard
Some low lying weeds coming through across site - not urgent but worth baring in mind before the begin to spread,Hazard
"Trial hole for water main and found cable ,start chasing and found end of cable it was jump leads ,so was good practice to dig around cable safely .",Good Practice
14ton delivered on a low loader instead of a ridged for three  shires,Hazard
Sub contractor driving in farmers fields causing damage,Hazard
Wasp nest located in read meeting room where they’re accessing room via vents,Hazard
Pictures taken of dirty track mats so show Speedy when they come to collect ,Good Practice
Forks on forklift correctly down and tilted forward,Good Practice
Was provided with protective sun glasses,Good Practice
Forks on forklift are not flat on the ground. Forks are tilted forward,Hazard
"Broken safety fence,  missing leg",Hazard
I was impressed with interactions with site gateman and the implementation of technology to assist with logging of entry/exit to site. I myself didn't have my NH passport on me but this was quickly overcome through having direct access to the NH database.  ,Good Practice
Bin needs to be emptied,Hazard
Keys left in door,Hazard
"Water main found and it wasn’t identified on the stats plans, ",Hazard
Mandatory sign in the mud.,Hazard
On the works access and egress there’s no thinking stating don’t stop in that area so tonight we tried lighting up the safety zone with cones and lamps this I feel if there wasn’t a good sos briefing or someone new to working on the roads would help if this was in place as we could place a no stopping sign there and yellow no parking cones with red lamps to keep the area free of obstruction ,Good Practice
Missing WTN’s from Restore Datashred via Reconomy,Good Practice
Broken safety fence,Hazard
There is some very dirty ppe in the male changing room!Do staff need to be reminded to its their responsibility to keep it clean so you can be seen?,Good Practice
Jay handling/using COSHH substances whilst doing so over a plant nappy to avoid any spills reaching the ground ,Good Practice
Rear door on welfare truck BL64 JH0 wide open.,Hazard
Cones that were narrowing the walkway re-sited,Good Practice
Clip for strimmer come off and unable to find in vegetation,Hazard
Fire alarm at London office today. Evacuation was successful and fire marshals cleared male and female toilets on floor 2. ,Good Practice
"During wet weather, it would be safer to have a mat inside at the entrances to the loos/induction cabins to avoid slipping.",Hazard
Plant specs to be reviewed,Hazard
When testing the smoke alarm in the meeting room I noticed that site visitors had left their chairs in front of the fire exit,Hazard
Logging container door unlocked,Hazard
A heater nine the canteen appears not to be working ,Good Practice
Costain & Soil engineering working collaboratively to clean up mud on the road outside Vellacott,Good Practice
Someone tripped over bag on floor,Hazard
Deep bt chamber with no cover,Hazard
Wireless PC mouse stolen amongst many other things recently across site recently. Because of the way the sensor works a whole new mouse and keyboard has been replaced. ,Hazard
Cupboards in the monument office are high with difficulty reaching mugs for shorter individuals when there are none at the front of the cupboard ,Hazard
Good interproject working/support - discussions with RDP north to discuss and share ideas about SWMPs,Good Practice
Near miss with horse on Cathcarts land. Horse became aggressive and kicked at operative. ,Hazard
Some fire points are missing signage,Hazard
Site water meter faulty,Good Practice
"Signage - good, clear signage in place denoting safe areas where Ppe is not required.",Good Practice
Site work finding - operatives on the gate using sand and a plastic bin to dispose of cigarette butts safely,Good Practice
Wrong fixings for track mats arrived with delivery of mats,Hazard
Karl walking around the car park and standing next to the live road when presenting a live feed in the Integrated meeting ,Hazard
Good to see the new biodegradable cups are now in the office and being used,Good Practice
Speeding vehicles in compound,Hazard
A sign has been put up above the sink to remind people to wash up plates/cups/cutlery etc,Good Practice
A12 staff not booking desks or meeting rooms,Hazard
Pot hole in track to carpark,Good Practice
Heras panels around the corrosion monitor for safety purposes ,Good Practice
Good use of car staring at lunchtimes to reduce fuel use,Good Practice
No induction room on site,Good Practice
The fire alarm in the ladies' changing room is chirping ,Good Practice
"On arriving at site on 01.02.22, the gateman Lewis Newton asked if I had taken and sent my lateral flow results on entry to the compound. By the time I had parked, Lewis had gone to the office to check that my email had been received. As it hadn’t (I misspelt the email address) Lewis approached me with a lateral flow test before I got to the office. The speed with which he acted showed me that he is protecting site from potential COVID cases, with which I was impressed. ",Good Practice
Our waste exemption information has been added to the relevant container ,Good Practice
AED pads expired ,Hazard
GREAT CLEAR MARKING FOR SMOKERS ,Good Practice
A completely stocked store with all PPE necessary to complete a good job,Good Practice
Squeaking door hinges. Disturbing & irritating office staff and  potentially adversely affecting their ability to concentrate and remain sane. ,Hazard
J24 compound  cleanliness is outstanding a pleasure to have a  briefing  in this location ,Good Practice
A bit of litter creeping in around the entrance to site ,Hazard
Failing LED lights have been taken off,Good Practice
"Following printer testing once the new Wi-Fi was installed, a significant amount of paper was left unsuitable for printing.",Good Practice
"I was impresses with the PVMP interface at the site compound with clear separation, crossing points and signage throughout",Good Practice
Three Shires stood down and briefed on site rules and re assessed on FLS assessment,Good Practice
Spoil around rigs left from last week,Hazard
Base of traffic cone broken,Hazard
Wi-Fi is too slow ,Good Practice
Directly outside door to offices is now a massive puddle. A slope or small step would be beneficial this time of year,Hazard
Unable to load RAMS to passport system as error message appears saying file is too large,Hazard
Whilst doing weekly fire extinguisher checks I noticed that all walkways are clear and free of debris ,Good Practice
Poster up in the gate cabin highlighting which waste carriers need to be stopped for a signature and which are on season tickets,Good Practice
Smell of gas,Hazard
X2 third party road sweep vehicles entered TM through access with beacons drove past Ll operatives way above speed limit and then out through the cones not the works exit.,Hazard
Purple lights in place at work access,Good Practice
The door to the Kelvedon offices opens out and straight out bro the footpath,Hazard
A12 first carbon report to NH submitted on time,Good Practice
Can I just say what an excellent job Jacob has done with the cleaning the carpets  also hoovering just before everyone arrives in the morning,Good Practice
Old AdBlue barrels have been reused as plant pots rather than being disposed of. Great initiative and saves Costain money and is better for the environment overall,Good Practice
" Pot holes in the road, in the compound",Hazard
"Please can you get some communication cars, similar to the stop work cards so that if we interact with a member of the public we can easily share best communication methods ",Hazard
Welfare facilities kept clean and in good working condition,Good Practice
Chevron traffic lights not working,Hazard
Staff being inducted do not have the correct PPE,Hazard
Observation app has been updated with the new A12 branding - posters put up around site,Good Practice
"Bowser was full of water when brought back as not used by contractor the day before, bowser  due to  be picked up ",Hazard
"The observation app qr code should be attached to each desk in the offices, induction room, canteen area etc to make it accessible & boost numbers. Just like in restaurants! ",Good Practice
I've noticed the some of the first aid posters have faded in the sunshine and maybe need updating with names,Good Practice
"People were standing on toilets, staff briefed on how to use toilet respectfully and sign put up in toilet cubicles",Good Practice
One of the Soil Engineering operative using a piece of wood to cut off strap used to bind fastened empty core boxes in an attempt to remove some for site used.,Hazard
Water flow very slow from the hot water boiler,Hazard
Canteen first aid box refilled with plasters,Good Practice
Sub contractor made good the farmers field that had been damaged,Good Practice
Site supervisor and operative removed weeds around the compound and levelled off with shingle,Good Practice
Do you think we could designate  the last Friday in the month to tidying the desks up ...ie getting rid of paper work that is obsolete and making them easier to clean  please?,Good Practice
Larger pieces of rubble in the car park pinging out from under cars ,Hazard
Completed safety critical medicals for the A12,Good Practice
Signs tidied up in the yard to make them easier to locate,Good Practice
All vegetation clearance permits have been scanned and uploaded to BC,Good Practice
Excrement around pan. Hairs from shaving in the sink,Hazard
Regular breaks taken and plenty of water available when digging trial holes in the hot weather,Good Practice
Broken batteries at the rear of Chevron trucks ,Hazard
Attitude of soil engineering is excellent ,Good Practice
Every visit to kelvedon Elaine  welcomes me & has a brew ready as I walk in the door. This has helped me with my well being on days I’ve struggled to go to work. Thank you Elaine ,Good Practice
A meeting was held with our waste broker Reconomy to identify the issues of poor performance on their behalf and also identified areas of how they could help us improve also,Good Practice
An Ecologist is on site,Good Practice
First monthly catch up call with Reconomy setup ,Good Practice
Evaluator site alarm on the floor,Hazard
Both heaters were on 23 and 25°,Good Practice
Filter in hydrogen genny showing how bad the air is around our office,Hazard
Staff name Corey from Safety Road Work company driving (Speeding) his vehicle on site. It should be 5mph but he is driving more than that,Hazard
"Sunbelt blue rechargeable superlite model RITELITE/SLK930ALED K9,doesn't char0°",Hazard
Unfortunately the trial with Safety Shield and their air/noise monitoring station was unsuccessful. The unit was deemed unreliable and the customer support was not to standard. We will look for potential alternatives including hand held units from other projects.,Hazard
Weekend site security raising observations that had already been closed out,Hazard
The wc allocated for weekend security has no light,Hazard
Some fencing are missing around the trenches. ,Hazard
Main skip looks nearly full - needs crushing down or emptying,Hazard
The hot water tap is leaking in the canteen ,Hazard
Someone is smoking in the toilets,Good Practice
Water has a disgusting odour,Hazard
Incorrect information received from supplier regarding load description compared to what was received which resulted in utilisation rate being over 85%,Hazard
Observed operative standing on a chair fixing the roof of the outside briefing area,Hazard
All site vehicles kept clean and topped up with diesel by Storeman ,Good Practice
"When the septic tanks were being emptied today, the tubing going from the tanks to the truck/lorry was laid on the ground in front of the ladies loos, without any warning, highlighting that it was there.  It seems that it could have gone behind the cabin, and therefore not been a hazard.",Hazard
Good to see office lighting being swapped over to more energy efficient LED lights ,Good Practice
Monument office sign in. Not clearly signed or team not aware of requirement to sign in,Hazard
The nale urinals are leaking around the joints with wee ...I know this because I cleaned it off yesterday and it's back today...also smells really bad ,Hazard
Ecobat Solutions came to empty the battery box in the office - consignment note handed over without having to ask for it,Good Practice
Positive discussion with Sean Allen and Sarah Lynch on estimating and Carbon accounting for the A12 ,Good Practice
Sign on right hand side heading out of compound roadside obscures vision for traffic ,Hazard
Canteen microwaves have not been cleaned and is in a state,Hazard
Sample container of soil engineering all windows and the door unlocked,Hazard
Possible leak from toilet.  Found lost hand pump soap in this room,Hazard
Archaeologists not made aware to bring insulated shovels for their metal detecting works,Hazard
Subcontractor skip delivery driver did not have the correct PPE,Hazard
The Costain flag has stuck itself around the flag poll and has been for a couple of days ,Good Practice
"Bowser continually losing water. Running water, not just a drip",Hazard
When looking at reducing cost need to actively consider carbon and not leave until the end,Hazard
Mens toilet seats could do with tightening up ,Hazard
Gravel was reclaimed from pedestrian area to be stockpiled for pot hole repairs - stockpile next to my vehicle,Hazard
EV charging available for both work and personal vehicles,Good Practice
High pressure gas main has been cat scanned ,Good Practice
Soil Engineering - good PPE across site,Good Practice
Good set up and control of TM for drainage survey works.,Good Practice
I thought it was positive to see the A12 Tea/Coffee chart in the kitchen in Kelvedon - little things can make a big difference.,Good Practice
Clean well set up welfare facilities appropriate for the office and site works.,Good Practice
QR codes on lynch plant allowing access to all telematic data,Good Practice
One of the staff from soul engineering park his van on work vehicles parking place parking without reverse parking ,Hazard
Camp of three homeless people in hedgerow beware of vehicle interface or interference ,Hazard
Graham Hill directed staff to a website in order to create a more efficient way of creating mandatory legal signage ,Good Practice
Main skip has been emptied following observations raised,Good Practice
There appears to be no hot water in the ladies toilet blocks ,Good Practice
Crash on sb A12 between J25 & J24,Hazard
Incorrect cone,Hazard
SLT with National Highways went well,Good Practice
Waste disposal team waited 10 minutes for everyone to finish break before emptying the toilet rather than when we were eating,Good Practice
Weeds growing up through shingle around the compound,Hazard
On 16/07/22 on my first patrol at 19:10 i saw canteens back door was open. I had tried to close it but it’s not working (closing),Hazard
WTN from Restore Datashred missing ,Hazard
No emergency plan in place for King William Street office.  Nothing to brief anyone on emergency procedure,Hazard
Wernic left paint containers on side of store after fixing leaked roof ,Hazard
Poor PPE from flowline,Hazard
Office kitchen carpet is wet - due to leaking window,Hazard
Fridge broken in office kitchen.,Hazard
All safety checks carried out with no issues this week ,Good Practice
Off hire collection of equipment from soil engineering. Lorry was directed to holding area. Security onsite coned off area to reduce person/ plant interface whilst off hire was taking place,Good Practice
Rain over the weekend slowed down works,Hazard
"All taps on site are frozen. All toilets are frozen, won't flush, bar one",Hazard
Several extension leads left turned on in London Office ,Hazard
Environmentally friendly hand soap being used/provided in the gents bathroom,Good Practice
Red sklp needs emptying,Hazard
Waste pipe reconnected and sealed properly,Good Practice
Peg left in field  after finish trial pit 5514,Hazard
water pressure reportedly lower than usual,Hazard
When vehicles drive through the compound dust has been spreading due to weather conditions ,Good Practice
Broken Haras fence ,Hazard
Fire alarm is beeping in men's toilet. ,Good Practice
"Based on vegetation clearance happening out on site, Ecological and Permit CTRMs have been assigned. This is great as it means we can keep a close check on our current works and make any adjustments required immediately. ",Good Practice
No water in kitchen.  I guess the pipes have frozen.  ,Hazard
"There is a lot of grass growing under the boot scrapers, eventually making it hard to scrap boots.Could the earth under them be replaced with stones as I think this will stop this problem ",Good Practice
"Scalding water in the ladies single loo  - when washing hands, the water is a good temperature for initial wetting, but once soap has been lathered, water is scalding! ",Hazard
Door and windows both ends of soil engineering login container open,Hazard
Electric Car being charged at Kelvedon compound - energy provided from solar and hydrogen generator,Good Practice
Soils skips not labelled,Hazard
One of the mats delivered was broken,Hazard
Plastic etc in the heap,Hazard
"SOSs completed by Jatinder Singh are consistently fully completed, signed and handed in promptly",Good Practice
"Door unlocked, lights on in training room",Hazard
There is a board coming up in the container ,Hazard
Wernick attended site to fix broken seats in ladies toilet block ,Good Practice
Every morning asked to sign so brief and not explained what work is happening each day,Hazard
The office and toilets are kept very clean and tidy,Good Practice
Overgrown vegetation at Area 18 cut back with strimmer so bollards now visible,Good Practice
Kay has setup an A12 Treely account whereby if members walk 5000 steps for 5 days (work week) a tree is planted ,Good Practice
The updated layout of desks in the office allows for safer travelling up and down the walkway - not knocking into people's chairs etc.,Good Practice
Missing lid on a water valve chamber,Hazard
Signage around compound needs tidying up,Hazard
Transferring fuel from 20litre metal fuel container to 5 litre fuel can. Whilst observing thought it would be better to place a funnel into the 5litre can to prevent any spillages,Hazard
Three Shires will order new number plate for the trailer without the correct plate on ,Good Practice
"Broken safety fence, leg missing ",Hazard
Soil Engineering coned off area for wagons to be loaded,Good Practice
The mat by the office door keeps moving ,Hazard
The new site energy dashboard showing live data from our solar panels and  from our solar panels and hydrogen generator is up on the screen in the office,Good Practice
Power out in the office due to faulty generator starter motor,Hazard
Working late configuring an observation app ,NULL
"Desks in both London and Kelvedon offices are being used as 'hot desks' people would have initially set up their desks and equipment as part of their DSE assessments, however equipment is being moved regularly and so the 'set up' which passed the DSE assessment is no longer present",Hazard
Tour team not wearing hard hats on site for potential danger ,Hazard
"Machine driver used red zone training properly, let me know he saw us, put the bucket down and turned off the machine then waited for us to be a suitable distance away before starting up the machine again ",Good Practice
Plant nappy liners have been updated ,Good Practice
Vegetation (permit to clear) up to date and complete,Good Practice
Good practice for trenches to be all protected on site ,Good Practice
"The posters on the tv screens regarding MHFA and fire wardens need to be updated.  there are also only 3 fire wardens that are part time in the London office. what happens in the event on an actual fire, will there be any one to help evacuate our floor? ",Hazard
People standing on toilet seats,Hazard
No lights in canteen apparently one comes on the side where the door is ment to be locked. Unlocked when I got here yesterday.  It's a risk as someone could be in there and security would not know until found with the head tourch,Hazard
Fire drill - quick and prompt response to fire drill. Observation made after about certain areas of responsibilities for fire Marshall’s and their areas.,Good Practice
Hot weather conditions today in Siggers whilst laying mats,Hazard
T&M contacted regarding waste transfer note (WTN) compliance - requested to make updates to WTN.  Waste description to match EWC code. Circle the SIC code for the site 42110. Container for waste (in addition to quantity already on the ticket) and Exemption for Anglian Water.,Good Practice
3D printed labels for the cabling going to our cabins,Good Practice
Broken safety fence,Hazard
Flowline putting PPE into the wrong skip,Hazard
Mug left on top of speedy generator,Hazard
"Very good site walkout organised by Conrad, Murphy and team to review the recently completed EMA 18",Good Practice
A heater appears not to be working in the canteen ,Good Practice
"Manhole found left open on northbound after J25 reported, and put a cone around to make it visible.",Hazard
blah blah blah blahblah blah blah blahblah blah blah blahblah blah blah blahblah blah blah blahblah blah blah blahblah blah blah blah,NULL
Plastic in the stream,Hazard
Traffic lights are working well for Flowline to do their surveys,Good Practice
The floor in the ladies drying room seems to be bunching up .,Hazard
11KV cable has been fully flagged out and cat scanned ,Good Practice
Permanent Fire Marshals not in place for the London office.  No zoned areas for sweeping in event of alarm.  No communiated Fire evacuation procedure,Hazard
New generator and solar panels installed on site. The compound is running super efficiently now ,Good Practice
Pipes frozen no water to wash up or flush the toilets,Hazard
All permits & safety briefings have been issued to and by the correct personnel ,Good Practice
Hire company dropped the charging tag from the off hired vehicle back to the A12 ,Good Practice
Aerosols not in COSHH bin,Hazard
Light on outside sleep cabin,Hazard
Triple threat security has suggested that outside the store trip hazards has been identified. ,Good Practice
"By moving the office desks, a clearer route through the office has been provided. This makes access and egress safer.",Good Practice
Externally stored extinguishers need to be covered as temperatures are dropping below recommended ranges,Hazard
Recent rain on road after extended dry period can leave road slippery if oil sap ills have occurred ,Hazard
Signs up throughout the office reminding colleagues to switch off their laptop and monitors to save energy,Good Practice
Access now available to the 3D design model for the whole team.  ,Good Practice
I noticed in the ladies toilets that cable ties had been put around the taps - great idea to save water as previously the water came out too fast and stayed on to long ,Good Practice
CSH bin blocking access to COSHH bins ,Hazard
Gate house  to hot in summer ,Hazard
Broken safety fence,Hazard
Water checks being carried out - hot water tap in bathroom of bunker bin is not coming up to required temperature (above 50 degrees),Hazard
3D Model for the scheme provided to carbon insights team to trial and identify if this is something we could use during construction to assist us with tracking our carbon emissions…,Good Practice
Jacqui has been reusing our black bin bags we use for our office waste. This is a great and easy way to reduce the amount of bin bags that we use. Simple but very effective.,Good Practice
New ValPak battery recycling box is now in the office and ready to be filled,Good Practice
